id,name,code,account_type,reconcile,tag_ids
capital,Capital Integrado,313,equity,False,l10n_py_coa.account_tag_paraguay
cash_diff_expense,Diferencia de caja (Perdidas),5380108,expense,False,l10n_py_coa.account_tag_paraguay
cash_diff_income,Diferencia de caja (Ingresos),5380129,income_other,False,l10n_py_coa.account_tag_paraguay
cost_of_goods_sold,Costo de ventas,51101,expense_direct_cost,False,l10n_py_coa.account_tag_paraguay
current_assets,Caja,1111001,asset_cash,False,l10n_py_coa.account_tag_paraguay
dividends,Capital Realizado,316,equity,False,l10n_py_coa.account_tag_paraguay
expense,Gastos Generales,5360116,expense,False,l10n_py_coa.account_tag_paraguay
expense_currency_exchange,Diferencia de Cambio,5360120,expense,False,l10n_py_coa.account_tag_paraguay
expense_finance,Gastos bancarios,5370101,expense,False,l10n_py_coa.account_tag_paraguay
expense_invest,Impresos y Formularios,5360106,expense,False,l10n_py_coa.account_tag_paraguay
expense_invest,Equipamientos,5360106,expense,False,l10n_py_coa.account_tag_paraguay
expense_rd,Gratificación al personal GND,5380113,expense,False,l10n_py_coa.account_tag_paraguay
expense_rent,Alquiler,536010203,expense,False,l10n_py_coa.account_tag_paraguay
expense_salary,Sueldos y jornales,5310101,expense,False,l10n_py_coa.account_tag_paraguay
expense_sales,Costo de ventas - GND,51107,expense_direct_cost,False,l10n_py_coa.account_tag_paraguay
fixed_assets,Inmuebles,12601,asset_fixed,False,l10n_py_coa.account_tag_paraguay
income,Ventas Mercaderias,416,income,False,l10n_py_coa.account_tag_paraguay
income_currency_exchange,Diferencia de Cambio,427,income_other,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_1111002,Caja Chica,1111002,asset_cash,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_1111004,Caja M fE,1111004,asset_cash,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_1111006,Recaudaciones a depositar,1111006,asset_cash,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_11121,Bco. Familiar Cta. Cte.,11121,asset_cash,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_11122,Banco GNB  cta. cte. USD,11122,asset_cash,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_11123,Banco GNB cta. cte. Gs,11123,asset_cash,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_11210101,Clientes M.E.,11210101,asset_receivable,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_11210104,Deudores varios,11210104,asset_receivable,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_11210190,Previsión para incobrables,11210190,asset_receivable,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_11210191,Préstamo a accionistas,11210191,asset_receivable,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_11210302,Anticipo a proveedores,11210302,asset_receivable,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_11210303,Deudores en cta.cte.,11210303,asset_receivable,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_11210304,Anticipo al personal,11210304,asset_receivable,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_11210305,Anticipo a directores,11210305,asset_receivable,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_11210306,Fondos a rendir,11210306,asset_receivable,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_11210307,Intereses a vencer,11210307,asset_receivable,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_11210308,Otros descuentos,11210308,asset_receivable,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_11210309,Anticipos a rendir,11210309,asset_receivable,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_11210310,Importaciones en curso,11210310,asset_receivable,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_11210311,Garantia de alquiler,11210311,asset_receivable,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_112202,Anticipo de Imp. a la renta,112202,asset_non_current,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_112203,Retención de Imp. a la renta,112203,asset_non_current,False,l10n_py_coa.account_tag_paraguay
